12123	520200
7826	355602
7832	356110
8084	355602
7885	356110
7648	355602
7221	356110
7001	355602
6985	356110
7244	355602
7402	356110
8147	355602
8820	356110
7932	355602
8119	356110
8132	355602
8522	356110
8984	355602
9152	356110
10548	355602
7885	356110
7482	355602
8222	356110
9427	355602
8168	356110
7570	355602
8104	356110
6978	355602
7956	356110
11511	355602
19257	356110
9036	355602
8886	356110
8347	355602
17657	356110
10908	355602
10522	356110
9564	355602
9769	356110
9892	355602
13383	356110
9412	355602
13531	356110
9490	355602
8498	356110
8381	355602
9154	356110
8515	355602
14352	520200
9530	355602
9356	356110
9227	355602
9936	356110
9353	355602
9496	356110
9221	355602
8367	356110
8683	355602
8905	356110
8363	355602
9289	356110
9694	355602
9218	356110
9367	355602
13138	356110
10262	355602
10837	356110
9549	355602
9650	356110
8800	355602
9868	356110
9036	355602
9520	356110
8951	355602
9770	356110
10049	355602
8695	356110
7867	355602
8486	356110
8069	355602
8302	356110
8264	355602
9099	356110
9104	355602
9764	356110
9619	355602
10694	356110
10130	355602
10596	356110
9782	355602
9887	356110
9066	355602
8685	356110
8696	355602
9367	356110
8650	355602
13641	520200
9783	355602
9781	356110
10090	355602
