0	1	1536	384
45	1	1536	576
134	1	1728	1152
278	1	2112	2112
414	1	2496	3072
478	1	2688	3456
503	1	3456	3456
523	1	3840	3456
536	1	4032	3456
550	1	4032	3456
566	1	4032	3456
585	1	4224	3456
602	1	4224	3456
613	1	4224	3456
629	1	4224	3456
652	1	4416	3456
669	1	4416	3456
678	1	4416	3456
702	1	4608	3456
724	1	4608	3456
737	1	4608	3456
752	1	4608	3456
769	1	4608	3456
784	1	4608	3456
800	1	4608	3456
815	1	4608	3456
830	1	4608	3456
845	1	4608	3456
861	1	4608	3456
879	1	4608	3456
895	1	4608	3456
911	1	4608	3456
928	1	4608	3456
945	1	4608	3456
961	1	4608	3456
978	1	4608	3456
995	1	4608	3456
1011	1	4608	3456
1033	1	4608	3456
1047	1	4608	3456
1062	1	4608	3456
1078	1	4608	3456
1095	1	4608	3456
1111	1	4608	3456
1128	1	4608	3456
1145	1	4608	3456
1161	1	4608	3456
1178	1	4608	3456
1195	1	4608	3456
1211	1	4608	3456
1228	1	4608	3456
1249	1	4608	3456
1265	1	4608	3456
1280	1	4608	3456
1295	1	4608	3456
1311	1	4608	3456
1328	1	4608	3456
1345	1	4608	3456
1361	1	4608	3456
1378	1	4608	3456
1395	1	4608	3456
1411	1	4608	3456
1442	1	4608	3456
1466	1	4608	3456
1484	1	4608	3456
1499	1	4608	3456
1514	1	4608	3456
1528	1	4608	3456
1542	1	4608	3456
1561	1	4608	3456
1573	1	4608	3456
1590	1	4608	3456
1606	1	4608	3456
1622	1	4416	3456
1637	1	4416	3456
1653	1	4416	3456
1668	1	4416	3456
1684	1	4416	3456
1699	1	4416	3456
1714	1	4416	3456
1728	1	4416	3456
1745	1	4416	3456
1761	1	4416	3456
1778	1	4416	3456
1795	1	4416	3456
1812	1	4416	3456
1828	1	4416	3456
1852	1	4416	3456
1868	1	4416	3456
1881	1	4416	3456
1894	1	4416	3456
1911	1	4416	3456
1928	1	4416	3456
1945	1	4416	3456
1961	1	4416	3456
1978	1	4416	3456
1995	1	4416	3456
2011	1	4416	3456
2028	1	4416	3456
2050	1	4416	3456
2067	1	4416	3456
2082	1	4416	3456
2097	1	4416	3456
2112	1	4416	3456
2128	1	4416	3456
2145	1	4416	3456
2161	1	4416	3456
2178	1	4416	3456
2195	1	4416	3456
2211	1	4416	3456
2228	1	4416	3456
2245	1	4416	3456
2261	1	4416	3456
2283	1	4416	3456
2299	1	4416	3456
2313	1	4416	3456
2331	1	4416	3456
2346	1	4416	3456
2361	1	4416	3456
2378	1	4416	3456
2395	1	4416	3456
2411	1	4416	3456
2428	1	4416	3456
2445	1	4416	3456
2461	1	4416	3456
2478	1	4416	3456
2495	1	4416	3456
2511	1	4416	3456
2528	1	4416	3456
2545	1	4416	3456
2561	1	4416	3456
2578	1	4416	3456
2595	1	4416	3456
2611	1	4416	3456
2628	1	4416	3456
2645	1	4416	3456
2661	1	4416	3456
2678	1	4416	3456
2695	1	4416	3456
2711	1	4416	3456
2728	1	4416	3456
2748	1	4416	3456
2766	1	4416	3456
2781	1	4416	3456
2799	1	4416	3456
2813	1	4416	3456
2828	1	4416	3456
2845	1	4416	3456
2861	1	4416	3456
2878	1	4416	3456
2895	1	4416	3456
3011	2	4416	4224
3145	2	4800	4992
3345	2	5760	6144
3645	2	6720	8064
3845	2	7680	9216
4002	2	9408	9984
4312	2	10560	11904
4733	2	11904	14592
4931	2	13056	15744
4954	2	13056	15744
4962	2	13056	15744
4979	2	13056	15744
4995	2	13056	15744
5012	2	13056	15744
5028	2	13056	15744
5045	2	13056	15744
5062	2	13056	15744
5078	2	13056	15744
5095	2	13056	15744
5112	2	13056	15744
5129	2	12672	15744
5149	2	12672	15744
5162	2	12672	15744
5179	2	12672	15744
5195	2	12672	15744
5212	2	12672	15744
5228	2	12672	15744
5245	2	12672	15744
5262	2	12672	15744
5278	2	12672	15744
5295	2	12672	15744
5312	2	12672	15744
5332	2	12672	15744
5348	2	12672	15744
5364	2	12672	15744
5380	2	12672	15744
5396	2	12672	15744
5412	2	12672	15744
5428	2	12672	15744
5445	2	12672	15744
5462	2	12672	15744
5478	2	12480	15744
5495	2	12480	15744
5512	2	12480	15744
5528	2	12480	15744
5545	2	12480	15744
5566	2	12480	15744
5580	2	12480	15744
5597	2	12480	15744
5612	2	12480	15744
5628	2	12480	15744
5645	2	12480	15744
5662	2	12480	15744
5678	2	12480	15744
5695	2	12480	15744
5712	2	12480	15744
5729	2	12480	15744
5750	2	12480	15744
5765	2	12480	15744
5781	2	12480	15744
5796	2	12480	15744
5812	2	12480	15744
5828	2	12480	15744
5845	2	12480	15744
5862	2	12480	15744
5878	2	12480	15744
5895	2	12480	15744
5912	2	12480	15744
5928	2	12288	15744
5945	2	12288	15744
5962	2	12288	15744
5985	2	12288	15744
6002	2	12096	15744
6016	2	11712	15744
6028	2	11712	15744
6046	2	11712	15744
6062	2	11712	15744
6078	2	11712	15744
6095	2	11712	15744
6111	2	11712	15744
6128	2	11712	15744
6262	3	11712	16512
6461	3	12288	17664
6731	3	13056	19200
7128	3	14592	21504
7695	3	16896	24960
8345	3	19776	28800
9095	3	22080	33408
9702	3	26112	36864
10212	4	27648	39936
11163	4	30912	45312
12412	4	33600	52224
13979	4	38208	60672
16934	5	42368	76800
22956	6	59776	105216
33447	8	76672	155904
52148	11	115136	251520
72588	12	185216	349056
